01/06/2023;06:00:00;Formula1;1;11;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650
01/06/2023;06:00:00;Formula2;2;12;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200;4300;4400;4500;4600;4700;4800;4900;5000;5100;5200;5300;5400;5500;5600;5700;5800;5900;6000;6100;6200;6300;6400;6500
01/06/2023;06:00:00;Formula3;3;13;1000;2000;3000;4000;5000;6000;7000;8000;9000;10000;11000;12000;13000;14000;15000;16000;17000;18000;19000;20000;21000;22000;23000;24000;25000;26000;27000;28000;29000;30000;31000;32000;33000;34000;35000;36000;37000;38000;39000;40000;41000;42000;43000;44000;45000;46000;47000;48000;49000;50000;51000;52000;53000;54000;55000;56000;57000;58000;59000;60000;61000;62000;63000;64000;65000
01/06/2023;09:00:00;Formula1;1;11;11;21;31;41;51;61;71;81;91;101;111;121;131;141;151;161;171;181;191;201;211;221;231;241;251;261;271;281;291;301;311;321;331;341;351;361;371;381;391;401;411;421;431;441;451;461;471;481;491;501;511;521;531;541;551;561;571;581;591;601;611;621;631;641;651
01/06/2023;09:00:00;Formula2;2;12;101;201;301;401;501;601;701;801;901;1001;1101;1201;1301;1401;1501;1601;1701;1801;1901;2001;2101;2201;2301;2401;2501;2601;2701;2801;2901;3001;3101;3201;3301;3401;3501;3601;3701;3801;3901;4001;4101;4201;4301;4401;4501;4601;4701;4801;4901;5001;5101;5201;5301;5401;5501;5601;5701;5801;5901;6001;6101;6201;6301;6401;6501
01/06/2023;09:00:00;Formula3;3;13;1001;2001;3001;4001;5001;6001;7001;8001;9001;10001;11001;12001;13001;14001;15001;16001;17001;18001;19001;20001;21001;22001;23001;24001;25001;26001;27001;28001;29001;30001;31001;32001;33001;34001;35001;36001;37001;38001;39001;40001;41001;42001;43001;44001;45001;46001;47001;48001;49001;50001;51001;52001;53001;54001;55001;56001;57001;58001;59001;60001;61001;62001;63001;64001;65001
02/06/2023;06:00:00;Formula1;1;11;12;22;32;42;52;62;72;82;92;102;112;122;132;142;152;162;172;182;192;202;212;222;232;242;252;262;272;282;292;302;312;322;332;342;352;362;372;382;392;402;412;422;432;442;452;462;472;482;492;502;512;522;532;542;552;562;572;582;592;602;612;622;632;642;652
02/06/2023;06:00:00;Formula2;2;12;102;202;302;402;502;602;702;802;902;1002;1102;1202;1302;1402;1502;1602;1702;1802;1902;2002;2102;2202;2302;2402;2502;2602;2702;2802;2902;3002;3102;3202;3302;3402;3502;3602;3702;3802;3902;4002;4102;4202;4302;4402;4502;4602;4702;4802;4902;5002;5102;5202;5302;5402;5502;5602;5702;5802;5902;6002;6102;6202;6302;6402;6502
02/06/2023;06:00:00;Formula3;3;13;1002;2002;3002;4002;5002;6002;7002;8002;9002;10002;11002;12002;13002;14002;15002;16002;17002;18002;19002;20002;21002;22002;23002;24002;25002;26002;27002;28002;29002;30002;31002;32002;33002;34002;35002;36002;37002;38002;39002;40002;41002;42002;43002;44002;45002;46002;47002;48002;49002;50002;51002;52002;53002;54002;55002;56002;57002;58002;59002;60002;61002;62002;63002;64002;65002
02/06/2023;09:00:00;Formula1;1;11;13;23;33;43;53;63;73;83;93;103;113;123;133;143;153;163;173;183;193;203;213;223;233;243;253;263;273;283;293;303;313;323;333;343;353;363;373;383;393;403;413;423;433;443;453;463;473;483;493;503;513;523;533;543;553;563;573;583;593;603;613;623;633;643;653
02/06/2023;09:00:00;Formula2;2;12;103;203;303;403;503;603;703;803;903;1003;1103;1203;1303;1403;1503;1603;1703;1803;1903;2003;2103;2203;2303;2403;2503;2603;2703;2803;2903;3003;3103;3203;3303;3403;3503;3603;3703;3803;3903;4003;4103;4203;4303;4403;4503;4603;4703;4803;4903;5003;5103;5203;5303;5403;5503;5603;5703;5803;5903;6003;6103;6203;6303;6403;6503
02/06/2023;09:00:00;Formula3;3;13;1003;2003;3003;4003;5003;6003;7003;8003;9003;10003;11003;12003;13003;14003;15003;16003;17003;18003;19003;20003;21003;22003;23003;24003;25003;26003;27003;28003;29003;30003;31003;32003;33003;34003;35003;36003;37003;38003;39003;40003;41003;42003;43003;44003;45003;46003;47003;48003;49003;50003;51003;52003;53003;54003;55003;56003;57003;58003;59003;60003;61003;62003;63003;64003;65003
03/06/2023;06:00:00;Formula1;1;11;14;24;34;44;54;64;74;84;94;104;114;124;134;144;154;164;174;184;194;204;214;224;234;244;254;264;274;284;294;304;314;324;334;344;354;364;374;384;394;404;414;424;434;444;454;464;474;484;494;504;514;524;534;544;554;564;574;584;594;604;614;624;634;644;654
