10/11/2024,08:00:00,JOAO,,110,210,310,410,510,610,710,810,910,1010,1110,1210,1310,1410,1510,1610,1710,1810,1910,2010,2110,2210,2310,2410
10/11/2024,08:30:00,JOAO,,111,211,311,411,511,611,711,811,911,1011,1111,1211,1311,1411,1511,1611,1711,1811,1911,2011,2111,2211,2311,2411
11/11/2024,09:00:00,JOAO,,112,212,312,412,512,612,712,812,912,1012,1112,1212,1312,1412,1512,1612,1712,1812,1912,2012,2112,2212,2312,2412
11/11/2024,09:30:00,JOAO,,113,213,313,413,513,613,713,813,913,1013,1113,1213,1313,1413,1513,1613,1713,1813,1913,2013,2113,2213,2313,2413
12/11/2024,10:00:00,JOAO,,114,214,314,414,514,614,714,814,914,1014,1114,1214,1314,1414,1514,1614,1714,1814,1914,2014,2114,2214,2314,2414
12/11/2024,10:30:00,JOAO,,115,215,315,415,515,615,715,815,915,1015,1115,1215,1315,1415,1515,1615,1715,1815,1915,2015,2115,2215,2315,2415
13/11/2024,11:00:00,JOAO,,116,216,316,416,516,616,716,816,916,1016,1116,1216,1316,1416,1516,1616,1716,1816,1916,2016,2116,2216,2316,2416
13/11/2024,11:30:00,JOAO,,117,217,317,417,517,617,717,817,917,1017,1117,1217,1317,1417,1517,1617,1717,1817,1917,2017,2117,2217,2317,2417
14/11/2024,12:00:00,JOAO,,118,218,318,418,518,618,718,818,918,1018,1118,1218,1318,1418,1518,1618,1718,1818,1918,2018,2118,2218,2318,2418
14/11/2024,12:30:00,JOAO,,119,219,319,419,519,619,719,819,919,1019,1119,1219,1319,1419,1519,1619,1719,1819,1919,2019,2119,2219,2319,2419
15/11/2024,13:00:00,JOAO,,120,220,320,420,520,620,720,820,920,1020,1120,1220,1320,1420,1520,1620,1720,1820,1920,2020,2120,2220,2320,2420
16/11/2024,13:00:00,JOAO,,120,220,320,420,520,620,720,820,920,1020,1120,1220,1320,1420,1520,1620,1720,1820,1920,2020,2120,2220,2320,2420
